,TP,FP,FN
6,2,0,0
7,2,0,0
9,2,0,0
13,2,0,0
17,2,0,0
18,1,0,1
21,1,0,0
22,2,0,0
24,2,0,0
27,2,0,0
31,2,0,0
35,2,0,0
38,2,0,0
39,2,0,0
48,2,0,0
49,2,0,0
52,2,0,0
55,2,0,0
56,2,0,0
61,1,0,1
65,2,0,0
67,1,1,0
68,1,1,0
74,2,0,0
75,2,0,0
77,2,0,0
78,2,0,0
84,1,0,1
87,2,0,0
90,2,0,0
94,1,0,1
95,1,0,1
110,1,0,1
112,1,0,1
113,2,0,0
121,2,0,0
122,1,0,1
126,1,0,1
133,2,0,0
144,1,1,0
149,2,0,0
169,2,0,0
170,2,0,0
171,2,0,0
194,2,0,0
211,1,0,1
214,2,0,0
220,1,1,0
243,2,0,0
250,1,1,0
259,2,0,0
260,2,0,0
261,2,0,0
287,2,0,0
308,1,0,1
321,1,0,1
328,2,0,0
344,1,1,0
348,1,1,0
359,1,0,1
366,1,0,1
379,1,0,1
382,1,0,1
384,1,0,1
390,1,0,1
391,1,0,1
400,1,0,0
401,1,0,0
410,1,0,1
414,1,0,1
416,1,0,1
419,1,0,1
421,1,0,1
426,1,1,0
428,1,1,0
446,1,1,0
454,1,1,0
461,1,1,0
463,2,0,0
467,1,1,0
470,1,1,0
479,1,1,0
484,2,0,0
485,2,0,0
489,1,1,0
492,2,0,0
493,2,0,0
495,2,0,0
504,2,0,0
522,1,0,1
528,1,0,1
531,1,0,1
532,1,0,1
533,1,0,1
537,1,0,1
538,1,0,1
543,1,0,1
544,1,0,0
545,1,0,0
552,1,1,0
556,1,1,0
557,1,1,0
564,1,1,0
571,1,0,0
579,1,1,0
583,1,1,0
584,1,1,0
587,1,1,0
590,1,1,0
592,1,1,0
593,0,2,0
596,1,1,0
597,1,1,0
598,1,1,0
602,1,2,0
606,2,0,0
611,2,0,0
612,2,0,0
614,2,0,0
616,2,0,0
617,2,0,0
620,1,1,0
626,0,0,2
627,0,0,2
629,0,0,2
637,0,0,2
644,1,0,1
645,1,0,1
649,2,0,1
654,1,1,1
655,1,1,1
658,1,0,1
667,1,0,1
693,2,0,0
697,2,0,0
705,2,0,0
709,2,0,0
719,2,0,0
720,2,0,0
723,2,0,0
735,0,0,2
748,1,0,0
749,1,0,0
755,1,0,0
758,1,0,1
763,2,0,0
770,2,0,0
775,2,0,0
777,2,0,0
795,2,0,0
802,2,0,0
804,2,0,0
810,2,0,0
821,2,0,0
829,2,0,0
830,2,0,0
839,2,0,0
841,2,0,0
842,2,0,0
844,2,0,0
847,2,0,0
852,2,0,0
854,2,0,0
857,2,0,0
862,2,0,0
864,2,0,0
878,2,0,0
881,2,0,0
884,2,0,0
886,2,0,0
888,2,0,0
895,2,0,0
897,2,0,0
898,2,0,0
903,2,0,0
906,2,0,0
907,2,0,0
909,2,0,0
915,1,1,0
917,1,1,0
940,0,0,2
947,0,0,2
969,1,0,1
970,1,0,1
984,2,0,0
1001,2,0,0
1003,2,0,0
1016,2,0,0
1017,2,0,0
1018,2,0,0
1030,2,0,0
1036,2,0,0
1040,2,0,0
1041,2,0,0
1076,2,0,0
1077,2,0,0
1087,2,0,0
1090,2,0,0
1094,1,0,1
1097,2,0,0
1098,2,0,0
1109,2,0,0
1116,2,0,0
1122,2,0,0
1136,1,0,1
1146,1,0,0
1151,1,0,0
1158,1,0,0
1160,1,0,0
1165,1,0,0
1170,1,0,0
1171,1,0,0
1180,1,0,0
1184,1,1,0
1188,1,1,0
1196,2,0,0
1199,2,0,0
1207,2,0,0
1210,2,0,0
1212,2,0,0
1216,2,0,0
1217,2,0,0
1218,2,0,0
1223,2,0,0
1224,2,0,0
1227,2,0,0
1228,2,0,0
1231,2,0,0
1234,2,0,0
1236,2,0,0
1242,2,0,0
1251,2,0,0
1253,1,0,1
1259,1,0,1
1261,1,0,0
1265,1,0,0
1271,1,0,0
1274,1,0,0
1289,1,0,1
1293,1,0,1
1296,1,0,1
1300,2,0,0
1302,2,0,0
1304,2,0,0
1313,1,1,0
1316,1,1,0
1324,2,0,0
1333,2,0,0
1334,2,0,0
1338,2,0,0
1342,2,0,0
1344,2,0,0
1348,2,0,0
1350,2,0,0
1357,1,0,1
1358,1,0,1
1363,1,0,1
1365,1,0,1
1377,1,0,1
1385,2,0,0
1399,2,0,0
1405,2,0,0
1406,2,0,0
1412,2,0,0
1418,2,0,0
1419,2,0,0
1429,2,0,0
1440,2,0,0
1450,2,0,0
1461,2,0,0
1466,2,0,0
1473,2,0,0
1482,2,0,0
1484,2,0,0
1492,1,1,0
1494,1,1,0
1501,2,0,0
1504,2,0,0
1509,2,0,0
1510,2,0,0
1514,2,0,0
1518,2,0,0
1523,2,0,0
1543,2,0,0
1545,2,0,0
1550,2,0,0
1559,1,1,0
1560,2,0,0
1567,1,1,1
1576,1,1,1
1577,1,1,1
1578,1,1,1
1583,2,0,1
1587,1,0,1
1592,2,0,0
1598,2,0,0
1613,2,0,0
1617,2,0,0
1618,2,0,0
1619,2,0,0
1626,1,1,1
1635,1,1,1
1642,1,1,1
1645,1,1,1
1648,2,0,0
1655,2,0,0
1676,2,0,0
1678,2,0,0
1682,2,0,0
1683,2,0,0
1688,2,0,0
1695,2,0,0
1701,2,0,0
1704,1,1,0
1712,2,0,0
1719,1,1,1
1721,1,1,1
1723,1,1,1
1731,1,1,1
1733,1,1,1
1736,1,1,1
1738,1,1,1
1744,2,0,0
1746,1,1,1
1749,2,0,0
1752,2,0,0
1756,1,1,1
1757,2,0,0
1769,2,0,0
1773,2,0,0
1778,2,0,0
1786,2,0,0
1800,2,0,0
1801,2,0,0
1803,1,0,1
1806,1,0,1
1807,1,0,1
1818,1,0,0
1827,1,0,0
1834,1,0,0
1847,1,0,0
1852,1,0,0
1854,1,0,0
1859,1,0,0
1869,1,0,0
1877,1,0,0
1878,1,0,0
1896,2,0,0
1906,2,0,0
1908,2,0,0
1916,1,1,0
1917,1,1,0
1919,1,1,0
1926,1,0,1
1930,1,0,1
1931,1,0,1
1934,1,0,1
1936,1,0,1
1939,1,0,1
1940,1,0,1
1941,1,0,1
1942,1,0,1
1949,1,0,1
1953,1,0,1
1958,1,0,1
1963,1,0,1
1966,1,0,1
1971,1,0,1
1973,1,0,1
1977,1,0,0
1985,1,0,0
1988,1,0,0
2001,0,0,1
2002,0,0,1
2006,0,0,1
2008,0,0,1
2010,0,0,1
2014,0,0,1
2023,1,0,0
2039,1,1,1
2050,2,0,0
2072,2,0,0
2074,2,0,0
2078,2,0,0
2080,2,0,0
2113,2,0,0
2121,2,0,0
2122,2,0,0
2137,2,0,0
2141,2,0,0
2145,2,0,0
2148,2,0,0
2158,2,0,0
2159,2,0,0
2161,2,0,0
2165,2,0,0
2170,2,0,0
2171,2,0,0
2180,2,0,0
2194,2,0,0
2196,2,0,0
2197,2,0,0
2210,1,0,1
2213,1,0,1
2220,1,0,1
2222,1,0,1
2224,1,0,1
2234,2,0,0
2235,1,1,1
2238,2,0,0
2250,0,2,2
2267,0,2,2
2272,1,1,1
2274,0,1,2
2275,1,1,1
2282,2,0,0
2283,1,1,1
2291,1,1,1
2296,2,0,0
2300,2,0,0
2303,2,0,0
2309,2,0,0
2313,2,0,0
2314,2,0,0
2317,2,0,0
2319,2,0,0
2321,2,0,0
